"","year","age","education","jobclass","wage"
"2609",2009,31,4,1,109.833985642199
"2369",2008,47,4,2,276.778413321176
"1177",2008,30,2,2,79.8549003093467
"1098",2008,21,2,1,54.5981500331442
"1252",2008,30,5,2,154.072997206315
"634",2006,60,3,1,96.0316570194457
"2097",2006,35,4,2,109.833985642199
"1152",2003,48,2,2,70.4760196469445
"1327",2003,50,5,2,134.705375118879
"2072",2005,46,3,1,100.764272842107
"356",2003,33,5,2,120.589436530402
"1625",2005,36,2,1,62.198679430261
"165",2003,58,4,2,138.299126920883
"2670",2009,37,4,2,176.989650489877
"2458",2009,54,3,2,134.705375118879
"1903",2007,37,2,2,70.8150386167557
"899",2004,42,3,1,148.413159102577
"601",2005,43,2,2,90.4819133566401
"1307",2003,23,3,2,90.4819133566401
"932",2003,44,2,2,112.6488963421
"997",2006,62,1,1,81.2832532842527
"2015",2006,34,2,2,82.6796372966372
"621",2008,36,5,1,148.413159102577
"1541",2004,30,1,1,86.6951548289402
"860",2006,29,5,2,99.6894636984864
"259",2008,56,4,1,141.77517233318
"1338",2003,22,3,1,73.7757432746946
"481",2007,51,3,2,81.2832532842527
"1322",2005,44,2,1,118.884359339886
"2991",2009,50,2,1,132.487821126123
"299",2005,27,4,1,145.805163374625
"2454",2007,66,2,2,70.4760196469445
"2362",2007,56,4,2,142.457169885112
"1316",2008,47,2,2,87.9810327856054
"836",2009,68,4,2,118.019753340006
"982",2004,42,5,2,160.642475408263
"2194",2008,50,4,2,148.413159102577
"1372",2004,57,4,2,272.294783220064
"2245",2004,40,4,2,111.720849360989
"1540",2006,28,3,1,54.5981500331442
"2274",2009,48,2,2,118.884359339886
"2552",2003,25,2,1,86.6951548289402
"727",2005,43,4,2,100.764272842107
"945",2005,62,4,2,99.6894636984864
"626",2008,44,2,1,43.7351116779821
"262",2003,49,5,1,134.705375118879
"2438",2007,32,1,1,65.1108537153447
"130",2003,61,5,1,79.1280844956297
"1396",2003,62,3,1,94.0727147457005
"1027",2007,51,5,2,191.573683548412
"374",2004,43,4,2,272.294783220064
"2818",2009,54,3,1,99.6894636984864
"1015",2009,57,4,2,157.10350432345
"1894",2009,47,2,2,109.833985642199
"2746",2005,40,5,2,87.9810327856054
"650",2003,19,1,1,27.1405792079024
"2088",2004,45,3,2,99.6894636984864
"517",2006,53,3,2,99.6894636984864
"33",2008,33,5,1,81.2832532842527
"2957",2003,51,2,1,98.5993438603892
"103",2004,54,2,2,111.720849360989
"2996",2008,44,3,1,154.68529299563
"2157",2008,29,1,1,99.6894636984864
"1353",2008,53,3,2,179.528092196451
"1693",2003,47,3,1,84.0459576539924
"76",2003,44,5,2,99.6894636984864
"1801",2009,35,3,1,116.265324062503
"1515",2005,29,3,1,109.833985642199
"2781",2003,34,2,2,103.90247060316
"16",2009,51,3,1,90.4819133566401
"1381",2004,47,3,2,121.430313822622
"1349",2003,19,1,1,54.5981500331442
"988",2003,46,3,1,126.323880709786
"82",2004,61,3,1,106.723977625299
"1944",2008,57,4,1,138.610994032645
"1905",2007,56,3,2,99.6894636984864
"914",2005,56,4,1,118.884359339886
"325",2008,23,2,1,84.0459576539924
"1646",2005,40,3,2,91.6992261117042
"2344",2009,30,3,2,70.5134157015506
"149",2007,40,4,2,176.989650489877
"1593",2009,46,4,1,84.3157688645753
"100",2005,33,4,2,144.944364980516
"999",2008,40,3,2,87.9810327856054
"2346",2009,48,1,2,100.879460918798
"2450",2006,37,2,2,169.073540049428
"91",2004,47,4,2,131.224593755096
"2829",2004,25,1,1,82.6796372966372
"1078",2004,50,2,2,143.134940811134
"2899",2003,36,3,2,91.6992261117042
"2336",2006,62,2,2,101.82435207568
"720",2006,58,1,1,75.3556793180091
"1782",2006,50,2,1,59.0970640815891
"2108",2005,38,5,1,186.876677628007
"1309",2009,32,4,2,123.089699847943
"2897",2003,40,2,1,73.7757432746946
"1644",2005,43,1,2,65.1108537153447
"2425",2003,52,3,2,70.4760196469445
"1877",2003,46,3,1,106.723977625299
"2686",2005,43,5,2,277.601417511009
"427",2003,34,4,1,90.4819133566401
"2490",2005,44,5,2,68.7480877337669
"1136",2003,30,3,2,109.833985642199
"584",2004,33,4,2,87.9810327856054
"951",2006,54,4,1,132.487821126123
"1537",2005,53,2,2,70.4760196469445
"1165",2006,41,2,2,81.2832532842527
"1742",2007,52,3,2,149.055895589404
"1925",2004,55,3,2,87.9810327856054
"311",2007,46,2,2,76.8936025176112
"474",2003,39,3,1,94.0727147457005
"2859",2004,42,3,1,147.766776237856
"1578",2003,37,2,1,85.3839403789827
"2090",2006,43,1,2,118.884359339886
"760",2007,56,4,2,125.12381572196
"1889",2003,38,2,2,118.712094053725
"1275",2009,30,5,1,118.884359339886
"2936",2003,34,5,2,146.462838515063
"25",2006,38,2,1,94.0727147457005
"1907",2007,41,1,1,75.3556793180091
"703",2008,49,5,2,279.1974969917
"2574",2009,27,5,2,122.263673892802
"623",2005,32,3,2,103.90247060316
"2310",2004,45,2,1,154.68529299563
"943",2007,26,2,1,66.9616443217359
"2970",2009,26,3,1,78.3924668009837
"2768",2007,52,3,1,118.884359339886
"2417",2009,48,3,2,147.116689159978
"2560",2003,42,2,1,120.589436530402
"2806",2004,57,5,2,134.705375118879
"754",2009,47,3,2,118.884359339886
"799",2009,54,2,1,94.0727147457005
"1954",2009,53,4,2,141.77517233318
"1248",2005,38,4,2,139.00340805947
"2822",2008,23,2,1,127.115743812184
"294",2003,47,2,2,65.1108537153447
"607",2006,48,2,2,87.9810327856054
"2812",2005,50,2,2,111.720849360989
"2831",2007,47,4,2,161.222495456794
"546",2003,58,4,2,32.3664131748549
"2474",2009,63,2,1,118.884359339886
"471",2006,41,2,2,99.6894636984864
"2236",2009,63,2,1,110.782650276254
"254",2007,35,4,2,118.884359339886
"268",2006,45,4,1,99.6894636984864
"640",2003,41,3,1,127.115743812184
"2089",2003,60,1,1,59.0970640815891
"664",2003,28,4,2,95.2307125669819
"1122",2007,51,2,1,133.232350826567
"2585",2005,47,2,1,79.8549003093467
"348",2007,43,5,2,281.745970551857
"2155",2007,52,3,2,114.475713290347
"317",2007,25,2,1,92.8958447894966
"1982",2008,33,2,2,94.0727147457005
"162",2008,35,3,2,123.089699847943
"636",2008,44,3,1,148.413159102577
"2754",2009,36,4,2,148.413159102577
"1631",2003,20,2,2,61.1875264339915
"1568",2004,58,2,1,75.0431540173515
"906",2007,49,3,2,104.921506533664
"1721",2008,53,2,1,134.705375118879
"796",2006,37,1,1,94.0727147457005
"2678",2004,76,3,1,73.7757432746946
"1162",2008,28,4,2,144.479422679423
"2821",2003,54,3,2,139.00340805947
"1571",2007,41,3,1,99.6894636984864
"78",2006,23,1,1,81.2832532842527
"526",2009,50,5,1,186.876677628007
"2531",2004,44,4,2,114.475713290347
"2230",2006,49,2,1,94.0727147457005
"1151",2009,48,4,2,109.547296634249
"1579",2003,52,4,1,191.573683548412
"337",2005,68,2,1,87.9810327856054
"539",2004,42,2,2,106.921814091211
"1566",2003,80,3,2,94.0727147457005
"2260",2006,35,5,1,91.0932184689733
"1611",2009,49,3,2,109.833985642199
"201",2006,27,1,2,73.7757432746946
"1425",2005,42,4,2,123.089699847943
"62",2006,54,3,1,117.146816914805
"1293",2008,34,2,1,99.6894636984864
"2979",2003,53,2,1,87.9810327856054
"1406",2008,29,1,2,73.7757432746946
"3000",2009,55,2,1,90.4819133566401
"573",2007,37,3,1,123.089699847943
"1793",2003,55,4,2,105.927810775063
"540",2003,61,2,1,56.9055391446732
"2",2004,24,4,2,70.4760196469445
"671",2007,51,2,2,148.155046727428
"2830",2008,66,4,1,148.413159102577
"771",2004,28,5,1,117.146816914805
"741",2008,35,1,1,85.9010443226556
"2317",2009,28,2,1,111.720849360989
"1036",2008,50,3,1,101.82435207568
"705",2008,40,3,1,154.68529299563
"670",2004,32,4,2,84.0459576539924
"1587",2004,43,5,2,160.642475408263
"444",2006,30,5,2,105.375892660271
"1887",2004,33,4,2,100.086742317948
"2725",2003,27,3,1,120.589436530402
"1848",2009,51,3,1,107.903923866876
"1034",2006,31,2,1,99.6894636984864
"1225",2003,61,2,2,101.595538208147
"1769",2005,43,2,1,132.860765311572
"1945",2008,26,3,2,109.833985642199
"181",2006,47,2,1,129.453644576625
"751",2004,24,4,2,94.0727147457005
"1308",2008,47,5,2,148.413159102577
"1788",2004,24,4,2,43.7351116779821
"463",2006,34,4,2,78.3924668009837
"2653",2004,44,3,2,117.146816914805
"1337",2008,37,4,2,161.914951381929
"2132",2008,44,2,1,104.921506533664
"464",2008,58,2,1,139.213788138664
"984",2008,36,1,1,87.9823064294987
"225",2005,23,2,2,73.7757432746946
"1126",2005,41,2,1,96.3706528322308
"2219",2004,36,4,1,134.705375118879
"489",2007,50,3,1,118.884359339886
"2742",2008,33,5,1,134.705375118879
"2004",2006,50,4,2,153.457515308961
"1591",2005,64,2,2,109.833985642199
"1850",2007,57,5,1,87.9810327856054
"1709",2006,51,4,2,118.884359339886
"1231",2006,54,2,1,82.6796372966372
"1109",2003,60,2,1,104.921506533664
"2868",2008,40,4,2,130.982177377461
"153",2003,43,4,2,81.2832532842527
"1934",2008,46,2,2,110.172930287822
"2288",2004,35,4,1,106.921814091211
"49",2006,25,1,1,66.2294082943902
"156",2008,38,5,1,136.876367635184
"2322",2009,55,2,1,87.9810327856054
"2779",2003,51,2,1,68.7480877337669
"2218",2006,64,2,2,95.2307125669819
"292",2005,41,2,2,118.884359339886
"148",2004,60,2,2,129.453644576625
"2237",2007,53,1,2,92.8958447894966
"1863",2006,47,2,2,78.3924668009837
"2654",2003,26,1,1,73.7757432746946
"2693",2005,46,4,2,277.601417511009
"1110",2005,42,2,1,91.602615662534
"2298",2006,26,2,1,66.9616443217359
"169",2009,55,1,1,85.3839403789827
"907",2007,47,3,2,130.982177377461
"732",2006,47,4,2,174.402876012275
"2598",2007,39,4,2,107.903923866876
"2505",2006,42,2,1,85.3839403789827
"919",2004,41,2,2,92.8958447894966
"2163",2008,39,2,1,63.1888610037461
"1803",2003,51,1,1,109.833985642199
"1939",2009,23,2,1,85.3839403789827
"1237",2005,58,5,2,59.0970640815891
"2967",2003,30,3,1,84.0459576539924
"985",2009,31,2,1,101.82435207568
"2486",2007,37,5,2,116.265324062503
"1851",2003,27,3,1,95.2307125669819
"625",2008,43,3,2,134.705375118879
"542",2009,42,2,2,107.903923866876
"1493",2007,41,5,2,114.475713290347
"1900",2005,28,1,1,61.1875264339915
"917",2009,33,5,2,267.901086855275
"1129",2005,45,2,2,94.0727147457005
"1226",2003,42,4,2,134.705375118879
"2136",2007,54,5,2,118.884359339886
"1975",2009,32,3,1,109.833985642199
"2439",2004,53,4,1,143.134940811134
"398",2009,25,5,2,118.884359339886
"2316",2005,48,2,1,66.2294082943902
"1717",2003,41,4,2,130.982177377461
"1546",2008,27,3,1,63.1888610037461
"2989",2007,51,5,2,126.085057289999
"2085",2007,47,3,1,145.143601176911
"2211",2005,22,4,2,54.0299651757595
"1819",2006,46,3,2,90.4819133566401
"2094",2008,50,2,1,104.921506533664
"859",2004,56,2,1,101.82435207568
"1488",2003,51,4,1,178.700657207025
"868",2003,56,2,2,134.705375118879
"376",2004,48,2,1,127.115743812184
"280",2005,52,2,2,52.1561711699147
"981",2003,60,1,1,73.7757432746946
"1428",2005,55,4,2,160.642475408263
"715",2007,48,2,1,65.1108537153447
"1249",2003,58,3,1,123.089699847943
"2254",2008,22,3,1,81.2832532842527
"2963",2009,40,3,1,97.4932940453934
"1825",2008,51,5,2,129.983634818897
"605",2006,43,2,1,134.705375118879
"1828",2003,36,4,2,148.413159102577
"647",2005,23,2,1,75.3556793180091
"2740",2005,54,3,2,118.884359339886
"1797",2004,39,2,1,101.82435207568
"159",2003,57,2,2,104.921506533664
"928",2005,39,1,2,67.8625234113681
"978",2007,44,5,2,160.642475408263
"653",2007,38,5,2,141.77517233318
"1402",2008,18,2,1,76.8936025176112
"2912",2003,40,5,2,133.232350826567
"2562",2003,54,5,2,148.413159102577
"2588",2007,30,3,2,131.737801155001
"2435",2004,30,4,2,114.475713290347
"1647",2008,39,4,1,73.7757432746946
"1846",2003,40,4,1,81.2832532842527
"2837",2004,43,3,2,134.705375118879
"2675",2003,26,2,1,56.9055391446732
"1433",2006,45,1,1,95.2307125669819
"620",2008,59,3,2,151.591484239814
"2250",2009,37,4,2,98.5993438603892
"2121",2003,55,4,1,130.982177377461
"335",2007,39,4,2,148.413159102577
"1271",2004,44,2,2,79.8549003093467
"2179",2007,29,4,1,62.2386812563875
"1174",2005,34,2,2,98.5993438603892
"1085",2005,55,5,2,277.601417511009
"1044",2006,41,1,1,89.4924795180001
"682",2004,44,4,2,109.833985642199
"983",2009,48,5,2,148.413159102577
"529",2003,45,2,1,73.7757432746946
"2927",2009,62,2,2,109.833985642199
"1235",2009,43,2,1,109.833985642199
"2321",2005,32,3,2,114.475713290347
"94",2005,34,5,2,107.903923866876
"2378",2006,25,1,1,69.6190369046763
"933",2009,54,2,2,76.8936025176112
"1714",2005,40,3,2,73.7757432746946
"2227",2004,59,5,2,141.77517233318
"2035",2004,37,2,1,34.6074177301288
"2352",2009,33,4,1,267.901086855275
"954",2009,46,2,2,143.699710133813
"1860",2008,47,3,1,107.903923866876
"473",2003,51,1,1,70.8150386167557
"1370",2004,48,3,2,117.146816914805
"829",2009,36,5,2,138.299126920883
"1255",2005,40,3,2,120.926701544426
"1390",2007,49,3,2,87.9810327856054
"2156",2005,38,5,2,160.642475408263
"2983",2005,40,4,1,130.982177377461
"2151",2008,31,3,1,99.6894636984864
"755",2004,41,4,2,87.9810327856054
"1282",2004,38,5,2,272.294783220064
"1208",2004,20,2,1,65.1108537153447
"843",2004,40,3,2,89.2428846644714
"1414",2005,66,2,2,92.8958447894966
"1823",2004,41,2,2,148.413159102577
"197",2008,48,2,1,114.475713290347
"1678",2004,51,4,1,138.299126920883
"1216",2003,46,2,2,114.475713290347
"1217",2008,38,1,1,87.9810327856054
"1449",2007,51,2,2,86.6951548289402
"1930",2008,49,4,1,154.68529299563
"1073",2006,51,3,1,107.903923866876
"2508",2003,47,3,1,81.2832532842527
"1046",2009,45,4,1,127.115743812184
"1401",2003,38,2,1,134.705375118879
"132",2008,52,5,2,132.487821126123
"1603",2006,47,2,1,101.82435207568
"187",2004,26,3,1,99.6894636984864
"2101",2008,43,2,2,87.9810327856054
"1083",2006,34,2,2,134.705375118879
"2718",2007,51,4,1,118.884359339886
"2135",2009,53,2,2,107.903923866876
"228",2006,43,1,2,95.2307125669819
"2041",2005,33,3,1,114.475713290347
"2919",2003,37,2,2,65.1108537153447
"1684",2008,24,2,1,66.2330957333126
"1929",2007,53,2,1,128.680488220624
"1563",2004,39,1,1,70.4760196469445
"1198",2006,39,2,1,148.413159102577
"3",2003,45,3,1,130.982177377461
"2864",2009,47,4,1,144.47808766541
"2915",2006,41,2,1,119.013345237399
"2186",2003,21,2,1,63.1888610037461
"2973",2009,22,2,2,87.9810327856054
"1960",2005,34,2,1,94.5960991038653
"767",2005,50,3,2,114.475713290347
"821",2004,18,1,1,69.6190369046763
"1990",2007,43,4,1,167.706575552614
"1774",2007,66,5,1,99.6894636984864
"708",2009,36,3,1,87.9810327856054
"1499",2008,35,1,1,65.1108537153447
"1192",2006,62,3,1,128.680488220624
"2544",2008,57,4,1,127.115743812184
"2266",2009,45,2,1,82.6796372966372
"2380",2005,54,3,2,115.51808515372
"110",2006,35,3,1,114.475713290347
"1143",2003,34,5,2,96.3706528322308
"619",2003,31,4,2,109.833985642199
"2958",2007,25,2,1,87.9810327856054
"2702",2004,35,5,2,118.884359339886
"27",2006,43,2,1,84.0459576539924
"1250",2004,18,2,1,55.9974338324572
"592",2003,50,2,2,91.6992261117042
"1134",2008,53,2,1,107.903923866876
"1753",2008,29,3,1,182.020620963512
"527",2003,53,4,2,176.989650489877
"1341",2006,44,4,1,108.874525834712
"1363",2007,45,4,2,99.6894636984864
"870",2003,47,4,1,176.989650489877
"2815",2004,59,4,2,144.210761166057
"267",2007,48,4,2,104.921506533664
"1389",2003,44,2,1,110.782650276254
"2541",2007,30,3,2,121.430313822622
"1871",2007,56,5,2,154.072997206315
"1391",2008,58,1,2,54.5981500331442
"2148",2007,60,5,2,106.921814091211
"1734",2009,57,5,2,109.833985642199
"1020",2005,30,2,1,85.3839403789827
"1236",2004,30,3,2,95.2307125669819
"2959",2007,50,3,2,99.6894636984864
"281",2003,22,3,1,43.7351116779821
"1535",2003,38,2,1,70.4760196469445
"2584",2004,55,4,2,134.705375118879
"1616",2003,47,4,2,118.884359339886
"2576",2008,41,3,1,99.6894636984864
"1779",2006,40,3,1,75.610695863947
"2867",2004,67,1,2,87.9810327856054
"743",2008,33,2,1,87.9810327856054
"2243",2005,47,2,1,92.8958447894966
"2730",2003,42,1,1,56.9055391446732
"2389",2008,33,2,1,128.680488220624
"1671",2009,21,3,1,49.5553381215226
"659",2008,38,2,1,94.0727147457005
"925",2008,68,2,1,109.833985642199
"2766",2006,45,4,2,116.265324062503
"2423",2006,48,2,1,109.833985642199
"1710",2004,50,2,2,79.8549003093467
"1885",2004,42,4,2,166.324941233877
"158",2004,55,3,2,130.220832358777
"1643",2005,57,4,1,148.413159102577
"1251",2004,35,4,1,141.77517233318
"2851",2005,26,4,2,97.4932940453934
"98",2006,45,4,2,200.543262324662
"820",2006,38,4,2,164.646988930328
"2748",2006,49,4,2,112.6488963421
"1333",2005,29,2,1,94.0727147457005
"2900",2003,46,2,1,141.77517233318
"1790",2006,50,2,1,109.833985642199
"1121",2003,33,2,1,99.2552868268562
"1141",2006,33,2,1,122.263673892802
"646",2003,39,2,1,134.705375118879
"826",2005,28,1,1,82.6796372966372
"938",2003,28,2,2,84.0459576539924
"2473",2008,48,4,2,145.143601176911
"2300",2004,34,4,2,166.324941233877
"1468",2003,55,5,2,110.782650276254
"2777",2006,36,5,2,200.543262324662
"1490",2007,43,1,1,82.6796372966372
"2794",2004,48,3,2,123.823733834101
"2133",2008,60,4,2,147.116689159978
"1057",2004,25,2,1,61.1875264339915
"2554",2009,52,5,2,65.1108537153447
"2446",2009,52,5,2,133.232350826567
"2178",2005,59,3,1,104.921506533664
"2022",2004,44,2,1,102.870246933215
"1325",2006,31,2,1,66.2294082943902
"1280",2005,25,3,1,91.6992261117042
"2174",2004,54,4,2,200.543262324662
"547",2007,25,4,1,104.921506533664
"2204",2006,41,2,2,101.82435207568
"1581",2006,39,4,2,148.413159102577
"237",2004,43,4,2,256.400649562425
"1160",2006,38,5,2,107.903923866876
"1273",2003,54,5,2,124.720446242886
"765",2004,55,3,2,109.833985642199
"503",2003,47,4,1,184.469464222499
"95",2006,22,2,1,81.2832532842527
"1957",2004,38,5,2,148.413159102577
"2618",2003,44,5,2,130.982177377461
"2281",2004,58,3,1,148.413159102577
"522",2003,56,4,1,130.982177377461
"2427",2008,25,2,2,127.115743812184
"1212",2003,54,3,2,72.4793162971252
"1018",2006,45,3,2,119.09923477134
"331",2004,40,2,1,171.765132627508
"987",2007,29,3,1,106.921814091211
"1943",2003,43,2,1,73.7757432746946
"1185",2007,33,2,1,139.703071527658
"1238",2007,60,4,1,118.884359339886
"271",2007,58,3,1,118.884359339886
"828",2007,28,1,2,54.5981500331442
"615",2006,22,3,2,90.4819133566401
"491",2008,23,4,1,118.884359339886
"138",2007,32,5,2,118.884359339886
"712",2007,33,4,2,109.833985642199
"2403",2009,50,2,1,99.6894636984864
"685",2007,44,2,1,59.0970640815891
"688",2003,43,2,1,70.9095858696657
"8",2008,30,3,2,111.720849360989
"864",2007,44,4,2,160.642475408263
"105",2008,50,4,2,114.475713290347
"176",2006,37,1,2,98.5993438603892
"141",2004,26,2,2,81.2832532842527
"2940",2009,38,3,1,84.0459576539924
"1895",2005,30,2,2,105.927810775063
"1365",2004,47,2,2,136.15771083723
"2181",2005,33,1,2,87.9810327856054
"1336",2003,37,4,2,118.884359339886
"1746",2007,43,2,1,119.405204322401
"753",2008,58,4,1,79.8549003093467
"707",2006,41,4,2,118.884359339886
"752",2003,61,2,1,148.413159102577
"2312",2005,47,4,2,143.325318108778
"275",2007,41,3,1,110.782650276254
"1138",2004,51,4,2,88.8315691738134
"2314",2003,42,2,1,85.3839403789827
"1853",2005,25,2,1,99.6894636984864
"163",2008,54,2,2,78.155161407934
"1648",2004,32,5,2,70.4760196469445
"1056",2005,49,4,1,148.413159102577
"566",2004,43,5,2,200.543262324662
"490",2007,41,5,2,284.524740902214
"1512",2004,61,3,1,128.680488220624
"1665",2003,43,4,2,104.921506533664
"461",2005,23,3,1,65.1108537153447
"1227",2009,31,5,1,127.115743812184
"1035",2004,72,2,2,92.8958447894966
"589",2007,50,2,2,81.2832532842527
"2191",2004,47,3,1,148.413159102577
"2548",2005,61,4,1,136.15771083723
"2304",2009,49,5,2,151.591484239814
"346",2007,39,4,2,104.921506533664
"689",2009,27,5,2,200.543262324662
"2460",2008,24,2,1,70.4760196469445
"722",2007,60,5,1,111.720849360989
"1654",2005,50,2,1,91.6992261117042
"273",2003,48,4,1,109.833985642199
"946",2009,57,5,2,141.77517233318
"39",2006,32,3,1,105.927810775063
"2029",2006,28,3,2,104.921506533664
"418",2009,58,4,2,114.475713290347
"204",2003,22,3,1,34.6074177301288
"222",2003,37,2,1,94.0727147457005
"2493",2009,56,3,1,140.398200161944
"2890",2007,38,5,2,171.765132627508
"2946",2004,30,2,1,88.9923771888426
"520",2004,56,5,2,163.515863976238
"668",2009,27,2,2,96.8667032433329
"2665",2003,48,2,1,23.9529444789965
"2145",2007,28,3,1,102.766280877288
"1720",2004,41,3,1,81.2832532842527
"1582",2009,63,5,2,171.765132627508
"2753",2009,34,5,2,152.838800991182
"2886",2006,22,1,1,75.0431540173515
"1010",2004,60,1,2,77.0452008528242
"2232",2009,59,4,1,81.2832532842527
"1634",2009,55,2,1,104.923531700709
"318",2005,24,2,1,72.1504556815713
"2117",2004,59,4,1,256.400649562425
"1450",2008,29,3,1,93.0440149336701
"2732",2003,32,2,1,68.111994065327
"1283",2003,40,4,2,268.266292012557
"2426",2009,40,3,1,166.879383279962
"2066",2009,30,4,2,102.870246933215
"242",2006,45,3,1,130.982177377461
"2226",2004,39,1,1,75.3556793180091
"1172",2009,54,3,1,86.6951548289402
"1843",2003,42,1,1,109.706051812711
"1301",2009,50,2,2,133.232350826567
"180",2006,48,4,1,123.089699847943
"1661",2003,55,4,2,109.833985642199
"747",2003,56,1,1,127.901232979118
"2031",2006,56,3,2,99.6894636984864
"1816",2003,41,3,2,89.2428846644714
"2558",2005,51,3,1,166.324941233877
"1442",2005,45,4,1,142.457169885112
"900",2003,36,2,1,115.375038556391
"236",2009,34,2,1,81.2832532842527
"2575",2008,29,3,1,101.82435207568
"691",2007,46,2,1,99.6894636984864
"295",2006,52,3,1,85.3839403789827
"831",2007,53,5,2,281.745970551857
"1726",2009,19,2,2,73.7757432746946
"21",2003,38,4,2,200.543262324662
"1387",2004,56,5,2,118.884359339886
"959",2008,55,1,1,109.833985642199
"2420",2004,56,5,2,141.77517233318
"1361",2006,31,2,1,94.0727147457005
"420",2005,44,3,2,97.4932940453934
"1690",2009,45,2,1,118.884359339886
"57",2006,59,5,2,200.543262324662
"1256",2007,34,5,2,97.4932940453934
"803",2006,44,2,1,116.265324062503
"1722",2005,35,3,2,97.4932940453934
"809",2008,52,4,2,65.1108537153447
"2850",2003,28,2,1,136.876367635184
"394",2008,58,3,1,104.921506533664
"353",2005,23,2,1,90.4819133566401
"2480",2003,19,2,1,51.9036962665682
"1089",2006,63,2,2,118.884359339886
"1919",2005,28,4,2,90.4819133566401
"756",2008,71,1,2,94.0727147457005
"58",2003,28,4,2,148.413159102577
"480",2003,47,3,1,146.462838515063
"1003",2004,25,2,1,54.5981500331442
"511",2003,52,2,1,92.1611220323496
"1312",2006,57,3,2,107.903923866876
"361",2007,50,5,2,126.323880709786
"2206",2008,28,4,2,126.323880709786
"1701",2005,37,2,1,99.6894636984864
